CName:U1   CNum:101
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U2   CNum:102
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U3   CNum:103
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U4   CNum:104
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U5   CNum:105
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U6   CNum:106
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U7   CNum:107
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U8   CNum:108
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    -0.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:U9   CNum:109
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UA   CNum:110
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UB   CNum:111
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    298.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UC   CNum:112
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UD   CNum:113
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UE   CNum:114
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UF   CNum:115
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:UG   CNum:116
 -7000.0      0.0
 -2082.0      0.0
 -2080.0      0.0
 -2080.0   -198.0
 -2020.0   -200.0
 -2000.0    300.0
    -1.0    300.0
    20.0   -200.0
   200.0   -200.0
   220.0    -50.0
  2000.0    -50.0
  2020.0     50.0
  2070.0     50.0
  2070.0     -2.0
  2072.0      0.0
  7000.0      0.0
CName:W1   CNum:117
 -7000.0      0.0
 -5497.2      0.0
 -5495.2      2.5
 -5352.6     21.0
 -5106.2     38.0
 -4660.3     61.0
 -4177.5     67.0
 -1995.4     77.0
 -1361.3     78.8
 -1300.4     78.9
  -735.5     80.0
  -624.0    128.0
  -533.4     42.0
  -489.4     94.0
  -409.7    110.0
  -302.5     68.0
  -197.3     68.0
  -141.6     84.0
   771.5     82.3
  1341.0     80.4
  1942.1     56.0
  2434.3     52.5
  2850.6    -97.7
  2852.6      0.0
  7000.0      0.0
CName:W2   CNum:118
 -7000.0      0.0
 -5453.9      0.0
 -5451.9     -8.5
 -4870.9     -9.0
 -4796.9     32.7
 -4551.9    172.4
 -2128.7    194.5
 -2044.1    137.8
 -1832.4    137.8
 -1790.1    154.2
 -1028.3    166.7
  -714.4    151.4
  -626.1      0.5
  -626.1     -9.5
  -350.0     -9.5
  -350.0      0.5
  -250.6    180.5
  1096.7    188.0
  1538.4   -206.0
  2145.7   -205.0
  2147.7      0.0
  7000.0      0.0
CName:W3   CNum:119
 -7000.0      0.0
 -2005.5      0.0
